Ticker,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-29 13:30:00+00:00,748.0,750.3599853515625,745.4199829101562,747.1566162109375,1489717,220.0,222.08999633789062,219.71009826660156,221.4300994873047,6887387,248.0,251.64830017089844,247.74000549316406,249.8350067138672,2981083,254.0,254.5,253.00999450683594,254.2198944091797,6306062,1203.5,1223.18994140625,1187.5400390625,1221.5799560546875,670965
2025-09-29 14:30:00+00:00,747.207275390625,748.969970703125,745.6099853515625,746.375,612344,221.4499969482422,221.53880310058594,220.5500030517578,220.67630004882812,2847139,249.86000061035156,249.9499969482422,247.89999389648438,248.3000030517578,1218148,254.2050018310547,254.24000549316406,253.30999755859375,253.47000122070312,2834864,1221.0899658203125,1224.43994140625,1212.010009765625,1212.25,166462
2025-09-29 15:30:00+00:00,746.3200073242188,749.603271484375,744.6400146484375,747.2899780273438,514270,220.7100067138672,221.6002960205078,220.58009338378906,221.36129760742188,1914981,248.30999755859375,248.8699951171875,248.1820068359375,248.57000732421875,866075,253.4665069580078,254.07000732421875,253.1199951171875,253.66000366210938,2275242,1212.0,1214.5999755859375,1207.47998046875,1208.2099609375,149648
2025-09-29 16:30:00+00:00,747.239990234375,748.2232055664062,743.8800048828125,744.14501953125,417676,221.35000610351562,221.8300018310547,220.61000061035156,221.77000427246094,2992178,248.56500244140625,248.72000122070312,245.16000366210938,245.906005859375,1947695,253.6699981689453,253.7799072265625,253.2100067138672,253.39999389648438,1744854,1208.0400390625,1209.510009765625,1202.905029296875,1205.81005859375,122398
2025-09-29 17:30:00+00:00,744.1099853515625,744.6500244140625,742.75,743.8499755859375,500908,221.77999877929688,221.8000030517578,220.9199981689453,221.51499938964844,1824169,245.89999389648438,246.13999938964844,244.66720581054688,245.9499969482422,1447095,253.38999938964844,254.61500549316406,253.1300048828125,254.57000732421875,2297052,1206.2850341796875,1206.31005859375,1201.5,1201.8948974609375,150507
2025-09-29 18:30:00+00:00,743.8150024414062,744.0599975585938,742.0999145507812,742.8900146484375,438467,221.514404296875,222.02999877929688,221.29200744628906,221.74000549316406,1932344,245.9600067138672,246.0,243.61000061035156,243.72999572753906,1603609,254.57000732421875,254.60000610351562,253.61000061035156,253.99000549316406,2057798,1201.280029296875,1203.300048828125,1200.0,1201.22998046875,171004
2025-09-29 19:30:00+00:00,742.9099731445312,744.5900268554688,739.1500244140625,743.4400024414062,1072452,221.73939514160156,222.52999877929688,221.66000366210938,222.1699981689453,12119107,243.72999572753906,244.5399932861328,243.1999969482422,244.3800048828125,1911076,253.99000549316406,254.8300018310547,253.94000244140625,254.35000610351562,2513071,1201.1500244140625,1206.4300537109375,1199.875,1206.31005859375,231047
2025-09-30 13:30:00+00:00,740.0,740.4749755859375,726.2999877929688,729.1849975585938,2579030,222.0,222.0800018310547,217.88999938964844,218.91000366210938,8368186,243.0,243.0,239.57069396972656,240.52499389648438,4050751,255.0,255.91900634765625,253.9600067138672,254.88619995117188,5093340,1204.0,1204.300048828125,1178.0,1183.02001953125,800232
