Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-28 14:30:00+00:00,323.25,326.8800048828125,317.40008544921875,318.0799865722656,6500875,231.34500122070312,232.74000549316406,230.22999572753906,231.47999572753906,4867303,636.0750122070312,643.1099853515625,635.5,641.385009765625,2303815,277.260009765625,278.23919677734375,276.0199890136719,276.260009765625,4040463,106.5,107.55000305175781,106.25,107.44000244140625,3326926
2025-11-28 15:30:00+00:00,318.1199035644531,319.4967041015625,316.94000244140625,317.4700012207031,2420683,231.47999572753906,232.5449981689453,231.22000122070312,231.94000244140625,2371103,641.340087890625,645.4500122070312,641.0,644.4949951171875,1509962,276.2900085449219,276.9198913574219,275.989990234375,276.25,1743837,107.43499755859375,107.88999938964844,107.12000274658203,107.44000244140625,1870904
2025-11-28 16:30:00+00:00,317.45001220703125,320.1050109863281,317.2101135253906,319.7200012207031,1624828,231.93499755859375,232.8800048828125,231.8699951171875,232.10450744628906,2322322,644.3699951171875,646.25,643.3300170898438,645.2999877929688,1048681,276.2449951171875,277.16009521484375,275.98651123046875,277.04998779296875,1791406,107.44000244140625,107.94000244140625,107.37999725341797,107.5250015258789,1473899
2025-12-01 14:30:00+00:00,317.2699890136719,319.6300048828125,314.4100036621094,317.010009765625,5378317,233.21499633789062,235.7969970703125,232.60000610351562,232.8800048828125,7486323,639.5449829101562,645.2949829101562,637.760009765625,639.4949951171875,2268278,278.1499938964844,278.7699890136719,276.1400146484375,278.14208984375,5114373,106.5,108.43000030517578,106.30999755859375,107.91000366210938,3141668
2025-12-01 15:30:00+00:00,316.9800109863281,318.6300048828125,315.4700012207031,316.81500244140625,1936805,232.8699951171875,234.3614044189453,232.25,233.97000122070312,3030989,639.4400024414062,642.7694702148438,638.4000244140625,642.7349853515625,1215559,278.1000061035156,278.4801025390625,277.30499267578125,277.9200134277344,1731132,107.90499877929688,108.73999786376953,107.72000122070312,108.38009643554688,1918590
2025-12-01 16:30:00+00:00,316.9049987792969,318.3299865722656,316.78009033203125,317.82501220703125,1200955,233.97000122070312,234.47000122070312,233.88999938964844,234.36500549316406,2172750,642.780029296875,644.8599853515625,642.6099853515625,643.510009765625,522420,277.8999938964844,279.8900146484375,277.8900146484375,279.7705078125,2091919,108.4000015258789,108.80500030517578,108.30999755859375,108.55999755859375,1236410
2025-12-01 17:30:00+00:00,317.80999755859375,318.4779968261719,317.2250061035156,317.2817077636719,1157280,234.36000061035156,235.22999572753906,234.16000366210938,234.96009826660156,2276578,643.530029296875,644.239990234375,641.4400024414062,641.6749877929688,518315,279.7749938964844,280.6400146484375,279.4599914550781,280.58819580078125,2222347,108.55999755859375,109.13999938964844,108.4749984741211,108.90660095214844,1329305
2025-12-01 18:30:00+00:00,317.32000732421875,317.989990234375,315.9117126464844,316.2300109863281,1335415,234.97999572753906,235.49000549316406,234.0989990234375,234.17999267578125,2549868,641.6799926757812,643.1500244140625,641.2000122070312,642.3380126953125,639386,280.590087890625,281.2200012207031,280.45001220703125,280.8900146484375,2919865,108.9000015258789,108.93000030517578,108.52999877929688,108.61000061035156,984482
